股票代號,股票名稱,股數,權重(%)
2330,台灣積體電路製造股份有限公司,"2,435,000",33.02
2454,聯發科技股份有限公司,"740,000",14.38
2308,台達電子工業股份有限公司,"1,036,000",6.41
2303,聯華電子股份有限公司,"5,727,000",5.18
3711,日月光投資控股股份有限公司,"1,573,000",4.32
3034,聯詠科技股份有限公司,"279,000",2.86
2379,瑞昱半導體股份有限公司,"232,000",2.37
2345,智邦科技股份有限公司,"268,000",2.23
3037,欣興電子股份有限公司,"631,000",2.18
2327,國巨股份有限公司,"190,000",1.93
3017,奇鋐科技股份有限公司,"159,000",1.62
3529,力旺電子股份有限公司,"33,000",1.42
6239,力成科技股份有限公司,"344,000",1.16
3533,嘉澤端子工業股份有限公司,"46,000",1.12
5483,中美矽晶製品股份有限公司,"271,000",1.05
6488,環球晶圓股份有限公司,"103,000",1.05
2449,京元電子股份有限公司,"548,000",1.04
3293,鈊象電子股份有限公司,"58,000",1.03
2360,致茂電子股份有限公司,"193,000",0.87
3653,健策精密工業股份有限公司,"50,000",0.77
5274,信驊科技股份有限公司,"15,000",0.76
6770,力晶積成電子製造股份有限公司,"1,523,000",0.7
2313,華通電腦股份有限公司,"511,000",0.7
2368,金像電子（股）公司,"157,000",0.67
2344,華邦電子股份有限公司,"1,420,000",0.67
3035,智原科技股份有限公司,"105,000",0.64
5269,祥碩科技股份有限公司,"17,000",0.64
4958,臻鼎科技控股股份有限公司,"312,000",0.62
2352,佳世達科技股份有限公司,"804,000",0.62
4966,譜瑞科技股份有限公司,"36,000",0.61
3023,信邦電子股份有限公司,"105,000",0.5
6531,愛普科技股份有限公司,"66,000",0.46
6147,頎邦科技股份有限公司,"330,000",0.43
2337,旺宏電子股份有限公司,"877,000",0.42
6285,啟碁科技股份有限公司,"154,720",0.41
2458,義隆電子股份有限公司,"132,000",0.39
2492,華新科技股份有限公司,"187,000",0.35
3665,貿聯控股（BizLink Holding In,"78,000",0.35
3264,欣銓科技股份有限公司,"198,000",0.28
8016,矽創電子股份有限公司,"54,000",0.28
6789,采鈺科技股份有限公司,"50,000",0.26
6412,群光電能科技股份有限公司,"79,000",0.25
3189,景碩科技股份有限公司,"137,000",0.24
4961,天鈺科技股份有限公司,"54,000",0.24
6269,台郡科技股份有限公司,"145,000",0.23
6271,同欣電子工業股份有限公司,"92,000",0.23
4919,新唐科技股份有限公司,"97,000",0.21
6282,康舒科技股份有限公司,"275,000",0.19
3374,精材科技股份有限公司,"79,000",0.18
6548,長華科技股份有限公司,"211,000",0.12
期貨代碼,期貨名稱,口數,權重(%)
TE,台灣電子期貨,18,1.33
